date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:26:39	107/107	---MCZ	200	added ('OK')	text/plain	date:Tue,%2013%20Aug%202024%2014:26:39%20GMT	http://benna.local/robots.txt		(from )
16:26:41	89600/89600	---MCZ	200	added ('OK')	text/html	date:Tue,%2013%20Aug%202024%2014:26:41%20GMT	http://benna.local/	C:/Users/Anna/Desktop/Pagine%20web/BENN/benna.local/index.html	(from )
16:26:42	112419/112419	---MCZ	200	added ('OK')	text/css	etag:W/%2266aa0b94-1b723%22	http://benna.local/wp-includes/css/dist/block-library/style.min.css?ver=6.6.1	C:/Users/Anna/Desktop/Pagine%20web/BENN/benna.local/wp-includes/css/dist/block-library/style.minb6a4.css	(from http://benna.local/)
16:26:42	12544/12544	---MCZ	200	added ('OK')	text/css	etag:W/%2266190bde-3100%22	http://benna.local/wp-content/plugins/lightbox-photoswipe/assets/ps5/styles/main.css?ver=5.2.6	C:/Users/Anna/Desktop/Pagine%20web/BENN/benna.local/wp-content/plugins/lightbox-photoswipe/assets/ps5/styles/main5223.css	(from http://benna.local/)
16:26:42	19564/19564	---MCZ	200	added ('OK')	text/css	etag:W/%2265f49408-4c6c%22	http://benna.local/wp-content/themes/generatepress/assets/css/main.min.css?ver=3.4.0	C:/Users/Anna/Desktop/Pagine%20web/BENN/benna.local/wp-content/themes/generatepress/assets/css/main.min6b00.css	(from http://benna.local/)
16:26:43	6792/6792	---MCZ	200	added ('OK')	text/css	etag:W/%22668d68ce-1a88%22	http://benna.local/wp-content/plugins/newsletter/style.css?ver=8.4.4	C:/Users/Anna/Desktop/Pagine%20web/BENN/benna.local/wp-content/plugins/newsletter/styleccb8.css	(from http://benna.local/)
16:26:45	55675/55675	---MCZ	200	added ('OK')	text/html	date:Tue,%2013%20Aug%202024%2014:26:44%20GMT	http://benna.local/fa/	C:/Users/Anna/Desktop/Pagine%20web/BENN/benna.local/fa/index.html	(from http://benna.local/)
16:26:45	54941/54941	---MCZ	200	added ('OK')	text/html	date:Tue,%2013%20Aug%202024%2014:26:44%20GMT	http://benna.local/it/	C:/Users/Anna/Desktop/Pagine%20web/BENN/benna.local/it/index.html	(from http://benna.local/)
16:26:46	11658/11658	---MCZ	200	added ('OK')	text/css	etag:W/%2266b9dbe4-2d8a%22	http://benna.local/wp-content/uploads/generateblocks/style-691.css?ver=1723456484	C:/Users/Anna/Desktop/Pagine%20web/BENN/benna.local/wp-content/uploads/generateblocks/style-6917423.css	(from http://benna.local/)
16:26:46	5901/5901	---MCZ	200	added ('OK')	text/css	etag:W/%2265f49573-170d%22	http://benna.local/wp-content/plugins/gp-premium/menu-plus/functions/css/offside.min.css?ver=2.4.0	C:/Users/Anna/Desktop/Pagine%20web/BENN/benna.local/wp-content/plugins/gp-premium/menu-plus/functions/css/offside.min8d5a.css	(from http://benna.local/)
